,A01,A02,A03,B05,B06,B07,B08,B09,C10T12,C13T15,C16,C17_18,C19,C20,C21,C22,C23,C24A,C24B,C25,C26,C27,C28,C29,C301,C302T309,C31T33,D,E,F,G,H49,H50,H51,H52,H53,I,J58T60,J61,J62_63,K,L,M,N,O,P,Q,R,S
SVK,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT
SVN,AUT,AUT,AUT,AUT,,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT,AUT
SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE,SWE
THA,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN
TUN,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR,MAR
TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR,TUR
TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN
UKR,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS,RUS
USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA,USA
VNM,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,HKG,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN,TWN
ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF,ZAF
